"Invalid store parameter.","Invalid store parameter.",module,Magento_Store
"Current store is not active.","Current store is not active.",module,Magento_Store
"Requested store is inactive","Requested store is inactive",module,Magento_Store
"Requested store is not found","Requested store is not found",module,Magento_Store
"Environment emulation nesting is not allowed.","Environment emulation nesting is not allowed.",module,Magento_Store
"Only default scope allowed","Only default scope allowed",module,Magento_Store
"Invalid scope object","Invalid scope object",module,Magento_Store
"Store with the same code","Store with the same code",module,Magento_Store
"Website with the same code","Website with the same code",module,Magento_Store
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.",module,Magento_Store
"Name is required","Name is required",module,Magento_Store
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.",module,Magento_Store
"Store is inactive","Store is inactive",module,Magento_Store
"Default store is inactive","Default store is inactive",module,Magento_Store
"All Store Views","All Store Views",module,Magento_Store
"-- Please Select --","-- Please Select --",module,Magento_Store
Admin,Admin,module,Magento_Store
"More than one default website is defined","More than one default website is defined",module,Magento_Store
"Default website is not defined","Default website is not defined",module,Magento_Store
"Your Language:","Your Language:",module,Magento_Store
"Your Language","Your Language",module,Magento_Store
Language,Language,module,Magento_Store
"Select Store","Select Store",module,Magento_Store
Configuration,Configuration,module,Magento_Store
"Various XML configurations that were collected across modules and merged.","Various XML configurations that were collected across modules and merged.",module,Magento_Store
Layouts,Layouts,module,Magento_Store
"Layout building instructions.","Layout building instructions.",module,Magento_Store
"Blocks HTML output","Blocks HTML output",module,Magento_Store
"Page blocks HTML.","Page blocks HTML.",module,Magento_Store
"Collections Data","Collections Data",module,Magento_Store
"Collection data files.","Collection data files.",module,Magento_Store
"Reflection Data","Reflection Data",module,Magento_Store
"API interfaces reflection data.","API interfaces reflection data.",module,Magento_Store
"Database DDL operations","Database DDL operations",module,Magento_Store
"Results of DDL queries, such as describing tables or indexes.","Results of DDL queries, such as describing tables or indexes.",module,Magento_Store
