"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your cart. You can always remove it later.",module,Magento_Msrp
"See price before order confirmation.","See price before order confirmation.",module,Magento_Msrp
"On Gesture","On Gesture",module,Magento_Msrp
"In Cart","In Cart",module,Magento_Msrp
"Before Order Confirmation","Before Order Confirmation",module,Magento_Msrp
"Use config","Use config",module,Magento_Msrp
"Click for price","Click for price",module,Magento_Msrp
"What's this?","What's this?",module,Magento_Msrp
"Order total will be displayed before you submit the order","Order total will be displayed before you submit the order",module,Magento_Msrp
"You will see the order total before you submit the order.","You will see the order total before you submit the order.",module,Magento_Msrp
Price,Price,module,Magento_Msrp
"Actual Price","Actual Price",module,Magento_Msrp
"Add to Cart","Add to Cart",module,Magento_Msrp
"Minimum Advertised Price","Minimum Advertised Price",module,Magento_Msrp
"Enable MAP","Enable MAP",module,Magento_Msrp
"Display Actual Price","Display Actual Price",module,Magento_Msrp
"Default Popup Text Message","Default Popup Text Message",module,Magento_Msrp
"Default ""What's This"" Text Message","Default ""What's This"" Text Message",module,Magento_Msrp
